Title,Genres,AverageRating
Sanjuro (1962),Action|Adventure,4.608695652173913
Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Action|Drama,4.560509554140127
"Godfather, The (1972)",Action|Crime|Drama,4.524966261808367
Raiders of the Lost Ark (1981),Action|Adventure,4.477724741447892
Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi,4.453694416583082
"Godfather: Part II, The (1974)",Action|Crime|Drama,4.357565011820331
Saving Private Ryan (1998),Action|Drama|War,4.337353938937053
"Matrix, The (1999)",Action|Sci-Fi|Thriller,4.315830115830116
"Princess Bride, The (1987)",Action|Adventure|Comedy|Romance,4.3037100949094045
"Boat, The (Das Boot) (1981)",Action|Drama|War,4.302697302697303
Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Drama|Sci-Fi|War,4.292976588628763
"African Queen, The (1951)",Action|Adventure|Romance|War,4.251655629139073
Braveheart (1995),Action|Drama|War,4.234957020057307
Run Lola Run (Lola rennt) (1998),Action|Crime|Romance,4.224813432835821
Butch Cassidy and the Sundance Kid (1969),Action|Comedy|Western,4.215644820295983
"Killer, The (Die xue shuang xiong) (1989)",Action|Thriller,4.19672131147541
Glory (1989),Action|Drama|War,4.193345323741007
Alien (1979),Action|Horror|Sci-Fi|Thriller,4.159584980237154
"Terminator, The (1984)",Action|Sci-Fi|Thriller,4.152049571020019
"Princess Mononoke, The (Mononoke Hime) (1997)",Action|Adventure|Animation,4.147826086956521
