Title,Genres,AverageRating
Sanjuro (1962),Action|Adventure,4.608695652173913
Raiders of the Lost Ark (1981),Action|Adventure,4.477724741447892
Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi,4.453694416583082
Lawrence of Arabia (1962),Adventure|War,4.401925391095066
"Great Escape, The (1963)",Adventure|War,4.376436781609195
Dersu Uzala (1974),Adventure|Drama,4.326086956521739
"Princess Bride, The (1987)",Action|Adventure|Comedy|Romance,4.3037100949094045
Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Drama|Sci-Fi|War,4.292976588628763
"Treasure of the Sierra Madre, The (1948)",Adventure,4.289183222958058
"African Queen, The (1951)",Action|Adventure|Romance|War,4.251655629139073
"Wizard of Oz, The (1939)",Adventure|Children's|Drama|Musical,4.247962747380675
"Princess Mononoke, The (Mononoke Hime) (1997)",Action|Adventure|Animation,4.147826086956521
Indiana Jones and the Last Crusade (1989),Action|Adventure,4.133292383292384
"Man Who Would Be King, The (1975)",Adventure,4.129032258064516
Ben-Hur (1959),Action|Adventure|Drama,4.110795454545454
Stand by Me (1986),Adventure|Comedy|Drama,4.0969187675070025
"City of Lost Children, The (1995)",Adventure|Sci-Fi,4.062034739454094
Mutiny on the Bounty (1935),Adventure,4.0311111111111115
Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Romance|Sci-Fi|War,4.022892819979188
"Adventures of Robin Hood, The (1938)",Action|Adventure,3.9735449735449735
