Title,Genres,AverageRating
"Close Shave, A (1995)",Animation|Comedy|Thriller,4.52054794520548
"Wrong Trousers, The (1993)",Animation|Comedy,4.507936507936508
Wallace & Gromit: The Best of Aardman Animation (1996),Animation,4.426940639269406
"Grand Day Out, A (1992)",Animation|Comedy,4.361522198731501
Creature Comforts (1990),Animation|Comedy,4.335766423357664
Toy Story 2 (1999),Animation|Children's|Comedy,4.218927444794953
"Princess Mononoke, The (Mononoke Hime) (1997)",Action|Adventure|Animation,4.147826086956521
Toy Story (1995),Animation|Children's|Comedy,4.146846413095811
Ghost in the Shell (Kokaku kidotai) (1995),Animation|Sci-Fi,4.089171974522293
"Iron Giant, The (1999)",Animation|Children's,4.0474777448071215
Winnie the Pooh and the Blustery Day (1968),Animation|Children's,3.986425339366516
Akira (1988),Adventure|Animation|Sci-Fi|Thriller,3.933628318584071
Perfect Blue (1997),Animation|Mystery,3.926829268292683
Fantasia (1940),Animation|Children's|Musical,3.904559915164369
Beauty and the Beast (1991),Animation|Children's|Musical,3.8858490566037736
Chicken Run (2000),Animation|Children's|Comedy,3.8796087283671934
"Lion King, The (1994)",Animation|Children's|Musical,3.8608385370205176
"Bug's Life, A (1998)",Animation|Children's|Comedy,3.854374633000587
"Secret of NIMH, The (1982)",Animation|Children's,3.850948509485095
Snow White and the Seven Dwarfs (1937),Animation|Children's|Musical,3.8453473132372213
