Title,Genres,AverageRating
"Wizard of Oz, The (1939)",Adventure|Children's|Drama|Musical,4.247962747380675
Toy Story 2 (1999),Animation|Children's|Comedy,4.218927444794953
Toy Story (1995),Animation|Children's|Comedy,4.146846413095811
"Iron Giant, The (1999)",Animation|Children's,4.0474777448071215
Winnie the Pooh and the Blustery Day (1968),Animation|Children's,3.986425339366516
E.T. the Extra-Terrestrial (1982),Children's|Drama|Fantasy|Sci-Fi,3.9651828999559275
Fantasia (1940),Animation|Children's|Musical,3.904559915164369
Mary Poppins (1964),Children's|Comedy|Musical,3.894164193867458
Babe (1995),Children's|Comedy|Drama,3.8914905768132497
Beauty and the Beast (1991),Animation|Children's|Musical,3.8858490566037736
Chicken Run (2000),Animation|Children's|Comedy,3.8796087283671934
"Little Princess, A (1995)",Children's|Drama,3.872093023255814
Willy Wonka and the Chocolate Factory (1971),Adventure|Children's|Comedy|Fantasy,3.8613861386138613
"Lion King, The (1994)",Animation|Children's|Musical,3.8608385370205176
"Muppet Movie, The (1979)",Children's|Comedy,3.8561827956989245
"Bug's Life, A (1998)",Animation|Children's|Comedy,3.854374633000587
"Secret of NIMH, The (1982)",Animation|Children's,3.850948509485095
Snow White and the Seven Dwarfs (1937),Animation|Children's|Musical,3.8453473132372213
Watership Down (1978),Animation|Children's|Drama|Fantasy,3.8426229508196723
Charlotte's Web (1973),Animation|Children's,3.8229376257545273
