Title,Genres,AverageRating
"Close Shave, A (1995)",Animation|Comedy|Thriller,4.52054794520548
"Wrong Trousers, The (1993)",Animation|Comedy,4.507936507936508
Yojimbo (1961),Comedy|Drama|Western,4.404651162790698
City Lights (1931),Comedy|Drama|Romance,4.387453874538745
"General, The (1927)",Comedy,4.368932038834951
"Grand Day Out, A (1992)",Animation|Comedy,4.361522198731501
Creature Comforts (1990),Animation|Comedy,4.335766423357664
Monty Python and the Holy Grail (1974),Comedy,4.335209505941213
Life Is Beautiful (La Vita è bella) (1997),Comedy|Drama,4.329861111111111
"Sting, The (1973)",Comedy|Crime,4.320305052430887
American Beauty (1999),Comedy|Drama,4.3173862310385065
"Princess Bride, The (1987)",Action|Adventure|Comedy|Romance,4.3037100949094045
"Philadelphia Story, The (1940)",Comedy|Romance,4.3006872852233675
Some Like It Hot (1959),Comedy|Crime,4.300480769230769
"Palm Beach Story, The (1942)",Comedy,4.288461538461538
Cinema Paradiso (1988),Comedy|Drama|Romance,4.287804878048781
It Happened One Night (1934),Comedy,4.280748663101604
Cool Hand Luke (1967),Comedy|Drama,4.253763440860215
Young Frankenstein (1974),Comedy|Horror,4.250628667225482
His Girl Friday (1940),Comedy,4.249370277078086
