Title,Genres,AverageRating
"Godfather, The (1972)",Action|Crime|Drama,4.524966261808367
"Usual Suspects, The (1995)",Crime|Thriller,4.517106001121705
Double Indemnity (1944),Crime|Film-Noir,4.415607985480944
"Godfather: Part II, The (1974)",Action|Crime|Drama,4.357565011820331
"Sting, The (1973)",Comedy|Crime,4.320305052430887
M (1931),Crime|Film-Noir|Thriller,4.3019480519480515
Some Like It Hot (1959),Comedy|Crime,4.300480769230769
Pulp Fiction (1994),Crime|Drama,4.278212805158913
GoodFellas (1990),Crime|Drama,4.275196137598069
On the Waterfront (1954),Crime|Drama,4.269749518304431
Fargo (1996),Crime|Drama|Thriller,4.254675686430561
Run Lola Run (Lola rennt) (1998),Action|Crime|Romance,4.224813432835821
L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller,4.219405594405594
Touch of Evil (1958),Crime|Film-Noir|Thriller,4.215953307392996
Laura (1944),Crime|Film-Noir|Mystery,4.2020547945205475
"Killing, The (1956)",Crime|Film-Noir,4.1692307692307695
Hard-Boiled (Lashou shentan) (1992),Action|Crime,4.137614678899083
Reservoir Dogs (1992),Crime|Thriller,4.13582208101668
Seven (Se7en) (1995),Crime|Thriller,4.106420404573439
"Professional, The (a.k.a. Leon: The Professional) (1994)",Crime|Drama|Romance|Thriller,4.106175514626218
