Title,Genres,AverageRating
For All Mankind (1989),Documentary,4.444444444444445
Jupiter's Wife (1994),Documentary,4.333333333333333
When We Were Kings (1996),Documentary,4.32129963898917
"Decline of Western Civilization, The (1981)",Documentary,4.274193548387097
"Wonderful, Horrible Life of Leni Riefenstahl, The (Die Macht der Bilder) (1993)",Documentary,4.258064516129032
"Thin Blue Line, The (1988)",Documentary,4.25278810408922
Stop Making Sense (1984),Documentary,4.2343096234309625
"War Room, The (1993)",Documentary,4.2272727272727275
42 Up (1998),Documentary,4.2272727272727275
Paradise Lost: The Child Murders at Robin Hood Hills (1996),Documentary,4.213836477987422
Hoop Dreams (1994),Documentary,4.18854748603352
Hands on a Hard Body (1996),Documentary,4.163043478260869
"Great Day in Harlem, A (1994)",Documentary,4.121951219512195
Maya Lin: A Strong Clear Vision (1994),Documentary,4.101694915254237
Anne Frank Remembered (1995),Documentary,4.097560975609756
Microcosmos (Microcosmos: Le peuple de l'herbe) (1996),Documentary,4.095744680851064
Roger & Me (1989),Comedy|Documentary,4.0739348370927315
Crumb (1994),Documentary,4.063136456211812
Buena Vista Social Club (1999),Documentary,4.056521739130435
"Celluloid Closet, The (1995)",Documentary,4.049645390070922
