Title,Genres,AverageRating
Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Action|Drama,4.560509554140127
"Shawshank Redemption, The (1994)",Drama,4.554557700942973
"Godfather, The (1972)",Action|Crime|Drama,4.524966261808367
Schindler's List (1993),Drama|War,4.510416666666667
Paths of Glory (1957),Drama|War,4.473913043478261
To Kill a Mockingbird (1962),Drama,4.425646551724138
Casablanca (1942),Drama|Romance|War,4.412822049131217
"World of Apu, The (Apur Sansar) (1959)",Drama,4.410714285714286
Yojimbo (1961),Comedy|Drama|Western,4.404651162790698
Pather Panchali (1955),Drama,4.404255319148936
One Flew Over the Cuckoo's Nest (1975),Drama,4.390724637681159
Citizen Kane (1941),Drama,4.388888888888889
City Lights (1931),Comedy|Drama|Romance,4.387453874538745
"Bridge on the River Kwai, The (1957)",Drama|War,4.386993603411514
North by Northwest (1959),Drama|Thriller,4.38403041825095
"Godfather: Part II, The (1974)",Action|Crime|Drama,4.357565011820331
Hearts and Minds (1996),Drama,4.357142857142857
"Bicycle Thief, The (Ladri di biciclette) (1948)",Drama,4.357142857142857
"Silence of the Lambs, The (1991)",Drama|Thriller,4.3518231186966645
To Live (Huozhe) (1994),Drama,4.344262295081967
