Title,Genres,AverageRating
Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi,4.453694416583082
E.T. the Extra-Terrestrial (1982),Children's|Drama|Fantasy|Sci-Fi,3.9651828999559275
Heavenly Creatures (1994),Drama|Fantasy|Romance|Thriller,3.8658280922431865
Willy Wonka and the Chocolate Factory (1971),Adventure|Children's|Comedy|Fantasy,3.8613861386138613
Big (1988),Comedy|Fantasy,3.8558014755197854
Watership Down (1978),Animation|Children's|Drama|Fantasy,3.8426229508196723
Excalibur (1981),Action|Drama|Fantasy|Romance,3.81266846361186
"Faraway, So Close (In Weiter Ferne, So Nah!) (1993)",Drama|Fantasy,3.712121212121212
"20,000 Leagues Under the Sea (1954)",Adventure|Children's|Fantasy|Sci-Fi,3.7026086956521738
Time Bandits (1981),Adventure|Fantasy|Sci-Fi,3.6940594059405942
Ladyhawke (1985),Adventure|Fantasy|Romance,3.6734317343173433
Peter Pan (1953),Animation|Children's|Fantasy|Musical,3.65993265993266
"Dark Crystal, The (1982)",Children's|Fantasy|Sci-Fi,3.652112676056338
Labyrinth (1986),Adventure|Children's|Fantasy,3.637184115523466
"7th Voyage of Sinbad, The (1958)",Action|Adventure|Fantasy,3.616279069767442
"NeverEnding Story, The (1984)",Adventure|Children's|Fantasy,3.6051502145922747
Beetlejuice (1988),Comedy|Fantasy,3.5678929765886287
"Navigator: A Mediaeval Odyssey, The (1988)",Adventure|Fantasy|Sci-Fi,3.5636363636363635
One Magic Christmas (1985),Drama|Fantasy,3.5517241379310347
Heart and Souls (1993),Comedy|Fantasy,3.547945205479452
