Title,Genres,AverageRating
Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Film-Noir,4.491489361702127
Double Indemnity (1944),Crime|Film-Noir,4.415607985480944
"Maltese Falcon, The (1941)",Film-Noir|Mystery,4.395973154362416
Chinatown (1974),Film-Noir|Mystery|Thriller,4.339240506329114
"Manchurian Candidate, The (1962)",Film-Noir|Thriller,4.333333333333333
"Big Sleep, The (1946)",Film-Noir|Mystery,4.312384473197782
Strangers on a Train (1951),Film-Noir|Thriller,4.304979253112033
M (1931),Crime|Film-Noir|Thriller,4.3019480519480515
Notorious (1946),Film-Noir|Romance|Thriller,4.29438202247191
Blade Runner (1982),Film-Noir|Sci-Fi,4.273333333333333
Shadow of a Doubt (1943),Film-Noir|Thriller,4.2703862660944205
L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller,4.219405594405594
Blood Simple (1984),Drama|Film-Noir,4.218152866242038
Touch of Evil (1958),Crime|Film-Noir|Thriller,4.215953307392996
Laura (1944),Crime|Film-Noir|Mystery,4.2020547945205475
"Killing, The (1956)",Crime|Film-Noir,4.1692307692307695
Out of the Past (1947),Film-Noir,4.150943396226415
Key Largo (1948),Crime|Drama|Film-Noir|Thriller,4.082429501084599
Gilda (1946),Film-Noir,4.009345794392523
Force of Evil (1948),Film-Noir,4.0
