Title,Genres,AverageRating
Singin' in the Rain (1952),Musical|Romance,4.2836218375499335
"Wizard of Oz, The (1939)",Adventure|Children's|Drama|Musical,4.247962747380675
This Is Spinal Tap (1984),Comedy|Drama|Musical,4.179785330948121
Shall We Dance? (1937),Comedy|Musical|Romance,4.1657142857142855
My Fair Lady (1964),Musical|Romance,4.154088050314465
Top Hat (1935),Comedy|Musical|Romance,4.147410358565737
"Producers, The (1968)",Comedy|Musical,4.144376899696049
West Side Story (1961),Musical|Romance,4.057818659658344
"King and I, The (1956)",Musical,3.954301075268817
On the Town (1949),Musical,3.940828402366864
"Blues Brothers, The (1980)",Action|Comedy|Musical,3.9395973154362416
"Sound of Music, The (1965)",Musical,3.931972789115646
"Gay Divorcee, The (1934)",Comedy|Musical|Romance,3.9238095238095236
Nashville (1975),Drama|Musical,3.92
Fantasia (1940),Animation|Children's|Musical,3.904559915164369
Cabaret (1972),Musical|War,3.9029345372460496
Mary Poppins (1964),Children's|Comedy|Musical,3.894164193867458
"Hard Day's Night, A (1964)",Comedy|Musical,3.88996138996139
Beauty and the Beast (1991),Animation|Children's|Musical,3.8858490566037736
Holiday Inn (1942),Comedy|Musical,3.88
