Title,Genres,AverageRating
Rear Window (1954),Mystery|Thriller,4.476190476190476
"Third Man, The (1949)",Mystery|Thriller,4.452083333333333
"Maltese Falcon, The (1941)",Film-Noir|Mystery,4.395973154362416
Chinatown (1974),Film-Noir|Mystery|Thriller,4.339240506329114
"Big Sleep, The (1946)",Film-Noir|Mystery,4.312384473197782
Vertigo (1958),Mystery|Thriller,4.27292817679558
"Conversation, The (1974)",Drama|Mystery,4.249448123620309
"Thin Man, The (1934)",Mystery,4.239726027397261
Anatomy of a Murder (1959),Drama|Mystery,4.231155778894473
L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller,4.219405594405594
Laura (1944),Crime|Film-Noir|Mystery,4.2020547945205475
"Lady Vanishes, The (1938)",Comedy|Mystery|Romance|Thriller,4.185929648241206
Charade (1963),Comedy|Mystery|Romance|Thriller,4.183006535947713
Arsenic and Old Lace (1944),Comedy|Mystery|Thriller,4.168154761904762
In the Heat of the Night (1967),Drama|Mystery,4.129310344827586
Gaslight (1944),Mystery|Thriller,4.096256684491979
Lone Star (1996),Drama|Mystery,4.082539682539682
Dial M for Murder (1954),Mystery|Thriller,4.079155672823219
2001: A Space Odyssey (1968),Drama|Mystery|Sci-Fi|Thriller,4.068764568764569
Diva (1981),Action|Drama|Mystery|Romance|Thriller,4.054474708171206
