Title,Genres,AverageRating
Casablanca (1942),Drama|Romance|War,4.412822049131217
City Lights (1931),Comedy|Drama|Romance,4.387453874538745
"Princess Bride, The (1987)",Action|Adventure|Comedy|Romance,4.3037100949094045
"Philadelphia Story, The (1940)",Comedy|Romance,4.3006872852233675
Notorious (1946),Film-Noir|Romance|Thriller,4.29438202247191
Cinema Paradiso (1988),Comedy|Drama|Romance,4.287804878048781
Singin' in the Rain (1952),Musical|Romance,4.2836218375499335
"African Queen, The (1951)",Action|Adventure|Romance|War,4.251655629139073
"Graduate, The (1967)",Drama|Romance,4.245836637589215
Run Lola Run (Lola rennt) (1998),Action|Crime|Romance,4.224813432835821
Roman Holiday (1953),Comedy|Romance,4.216470588235294
Rebecca (1940),Romance|Thriller,4.204663212435233
"Lady Eve, The (1941)",Comedy|Romance,4.1931034482758625
Children of Paradise (Les enfants du paradis) (1945),Drama|Romance,4.19
"Lady Vanishes, The (1938)",Comedy|Mystery|Romance|Thriller,4.185929648241206
Charade (1963),Comedy|Mystery|Romance|Thriller,4.183006535947713
Shall We Dance? (1937),Comedy|Musical|Romance,4.1657142857142855
My Fair Lady (1964),Musical|Romance,4.154088050314465
Top Hat (1935),Comedy|Musical|Romance,4.147410358565737
Annie Hall (1977),Comedy|Romance,4.14167916041979
