Title,Genres,AverageRating
Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi,4.453694416583082
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Sci-Fi|War,4.4498902706656915
"Matrix, The (1999)",Action|Sci-Fi|Thriller,4.315830115830116
Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Drama|Sci-Fi|War,4.292976588628763
Blade Runner (1982),Film-Noir|Sci-Fi,4.273333333333333
Alien (1979),Action|Horror|Sci-Fi|Thriller,4.159584980237154
"Terminator, The (1984)",Action|Sci-Fi|Thriller,4.152049571020019
"Day the Earth Stood Still, The (1951)",Drama|Sci-Fi,4.141323792486583
Aliens (1986),Action|Sci-Fi|Thriller|War,4.125824175824176
Brazil (1985),Sci-Fi,4.097480832420591
Ghost in the Shell (Kokaku kidotai) (1995),Animation|Sci-Fi,4.089171974522293
Metropolis (1926),Sci-Fi,4.082474226804123
"Clockwork Orange, A (1971)",Sci-Fi,4.0781122864117165
2001: A Space Odyssey (1968),Drama|Mystery|Sci-Fi|Thriller,4.068764568764569
"City of Lost Children, The (1995)",Adventure|Sci-Fi,4.062034739454094
Terminator 2: Judgment Day (1991),Action|Sci-Fi|Thriller,4.058512646281616
Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Romance|Sci-Fi|War,4.022892819979188
Close Encounters of the Third Kind (1977),Drama|Sci-Fi,4.0144727773949
Delicatessen (1991),Comedy|Sci-Fi,4.002717391304348
Back to the Future (1985),Comedy|Sci-Fi,3.9903213317847466
