Title,Genres,AverageRating
"Close Shave, A (1995)",Animation|Comedy|Thriller,4.52054794520548
"Usual Suspects, The (1995)",Crime|Thriller,4.517106001121705
Rear Window (1954),Mystery|Thriller,4.476190476190476
"Third Man, The (1949)",Mystery|Thriller,4.452083333333333
"Sixth Sense, The (1999)",Thriller,4.406262708418057
North by Northwest (1959),Drama|Thriller,4.38403041825095
"Silence of the Lambs, The (1991)",Drama|Thriller,4.3518231186966645
Chinatown (1974),Film-Noir|Mystery|Thriller,4.339240506329114
"Manchurian Candidate, The (1962)",Film-Noir|Thriller,4.333333333333333
"Matrix, The (1999)",Action|Sci-Fi|Thriller,4.315830115830116
Strangers on a Train (1951),Film-Noir|Thriller,4.304979253112033
M (1931),Crime|Film-Noir|Thriller,4.3019480519480515
Notorious (1946),Film-Noir|Romance|Thriller,4.29438202247191
Vertigo (1958),Mystery|Thriller,4.27292817679558
Shadow of a Doubt (1943),Film-Noir|Thriller,4.2703862660944205
Fargo (1996),Crime|Drama|Thriller,4.254675686430561
Seven Days in May (1964),Thriller,4.254545454545455
Some Folks Call It a Sling Blade (1993),Drama|Thriller,4.245098039215686
L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller,4.219405594405594
Psycho (1960),Horror|Thriller,4.218527315914489
