Title,Genres,AverageRating
Schindler's List (1993),Drama|War,4.510416666666667
Paths of Glory (1957),Drama|War,4.473913043478261
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Sci-Fi|War,4.4498902706656915
Casablanca (1942),Drama|Romance|War,4.412822049131217
Lawrence of Arabia (1962),Adventure|War,4.401925391095066
"Bridge on the River Kwai, The (1957)",Drama|War,4.386993603411514
"Great Escape, The (1963)",Adventure|War,4.376436781609195
"Grand Illusion (Grande illusion, La) (1937)",Drama|War,4.33939393939394
Saving Private Ryan (1998),Action|Drama|War,4.337353938937053
"Boat, The (Das Boot) (1981)",Action|Drama|War,4.302697302697303
Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Drama|Sci-Fi|War,4.292976588628763
Henry V (1989),Drama|War,4.286384976525822
Kagemusha (1980),Drama|War,4.283687943262412
Ran (1985),Drama|War,4.26890756302521
Patton (1970),Drama|War,4.266666666666667
"African Queen, The (1951)",Action|Adventure|Romance|War,4.251655629139073
"Killing Fields, The (1984)",Drama|War,4.248633879781421
Apocalypse Now (1979),Drama|War,4.243197278911564
Braveheart (1995),Action|Drama|War,4.234957020057307
Stalag 17 (1953),Drama|War,4.228426395939087
