Title,Genres,AverageRating
Yojimbo (1961),Comedy|Drama|Western,4.404651162790698
Butch Cassidy and the Sundance Kid (1969),Action|Comedy|Western,4.215644820295983
High Noon (1952),Western,4.1786600496277915
"Good, The Bad and The Ugly, The (1966)",Action|Western,4.133819951338199
Unforgiven (1992),Western,4.0902708124373115
"Wild Bunch, The (1969)",Western,4.087121212121212
"Searchers, The (1956)",Western,4.085714285714285
Blazing Saddles (1974),Comedy|Western,4.047363717605005
Little Big Man (1970),Comedy|Drama|Western,4.04399323181049
"Outlaw Josey Wales, The (1976)",Western,4.043835616438356
Once Upon a Time in the West (1969),Western,4.023121387283237
Hud (1963),Drama|Western,4.021505376344086
Lonely Are the Brave (1962),Drama|Western,4.0
"Fistful of Dollars, A (1964)",Action|Western,3.9942528735632186
For a Few Dollars More (1965),Western,3.916923076923077
Dances with Wolves (1990),Adventure|Drama|Western,3.9152308752584424
Dead Man (1995),Western,3.888888888888889
High Plains Drifter (1972),Western,3.8832807570977916
Tombstone (1993),Western,3.8734177215189876
Shane (1953),Drama|Western,3.839344262295082
